SHAP FEATURE IMPORTANCE SUMMARY
==================================================

HGBR – 1d  (R²=0.819, MAE=7.33, RMSE=9.96)
------------------------------------------
   1. pm2_5                           mean|SHAP| = 15.0124
   2. pm2_5_diff                      mean|SHAP| = 1.1525
   3. pm10_diff                       mean|SHAP| = 1.0141
   4. so2                             mean|SHAP| = 0.9050
   5. aqi_diff                        mean|SHAP| = 0.8302
   6. temperature                     mean|SHAP| = 0.7196
   7. temp_diff                       mean|SHAP| = 0.5969
   8. o3                              mean|SHAP| = 0.5555
   9. pm2_5_lag_1                     mean|SHAP| = 0.5152
  10. so2_lag_1                       mean|SHAP| = 0.4979

HGBR – 2d  (R²=0.438, MAE=13.26, RMSE=17.54)
--------------------------------------------
   1. pm2_5                           mean|SHAP| = 9.4317
   2. temperature                     mean|SHAP| = 2.9140
   3. month_cos                       mean|SHAP| = 1.8500
   4. aqi_roll_mean_7                 mean|SHAP| = 1.6629
   5. pm10_diff                       mean|SHAP| = 1.3377
   6. pm10_lag_1                      mean|SHAP| = 0.9315
   7. pm10                            mean|SHAP| = 0.6489
   8. so2_diff                        mean|SHAP| = 0.5554
   9. so2_lag_1                       mean|SHAP| = 0.5479
  10. pm2_5_lag_1                     mean|SHAP| = 0.5114

HGBR – 3d  (R²=0.329, MAE=14.68, RMSE=19.14)
--------------------------------------------
   1. temperature                     mean|SHAP| = 4.3384
   2. aqi_roll_mean_7                 mean|SHAP| = 4.0377
   3. pm2_5                           mean|SHAP| = 3.7597
   4. pm_ratio                        mean|SHAP| = 2.9577
   5. month_cos                       mean|SHAP| = 2.4430
   6. no2_lag_1                       mean|SHAP| = 1.6052
   7. pm10_diff                       mean|SHAP| = 1.2266
   8. pm10                            mean|SHAP| = 0.7760
   9. o3_lag_1                        mean|SHAP| = 0.7380
  10. windspeed                       mean|SHAP| = 0.7295

RF – 1d  (R²=0.819, MAE=7.09, RMSE=9.96)
----------------------------------------
   1. pm2_5                           mean|SHAP| = 8.4890
   2. log_pm2_5                       mean|SHAP| = 7.9377
   3. aqi                             mean|SHAP| = 0.6311
   4. pm10_diff                       mean|SHAP| = 0.4135
   5. so2                             mean|SHAP| = 0.4068
   6. temp_diff                       mean|SHAP| = 0.3730
   7. temperature                     mean|SHAP| = 0.3668
   8. o3                              mean|SHAP| = 0.3503
   9. pm2_5_diff                      mean|SHAP| = 0.2921
  10. aqi_diff                        mean|SHAP| = 0.2615

RF – 2d  (R²=0.411, MAE=13.63, RMSE=17.95)
------------------------------------------
   1. pm2_5                           mean|SHAP| = 6.1733
   2. log_pm2_5                       mean|SHAP| = 5.3111
   3. temperature                     mean|SHAP| = 1.9104
   4. month_cos                       mean|SHAP| = 1.1494
   5. aqi_roll_mean_7                 mean|SHAP| = 0.5938
   6. pm10_lag_1                      mean|SHAP| = 0.5824
   7. pm10_diff                       mean|SHAP| = 0.5016
   8. aqi                             mean|SHAP| = 0.4593
   9. humidity                        mean|SHAP| = 0.4324
  10. pm_ratio                        mean|SHAP| = 0.3918

RF – 3d  (R²=0.355, MAE=14.51, RMSE=18.78)
------------------------------------------
   1. temperature                     mean|SHAP| = 3.2336
   2. pm2_5                           mean|SHAP| = 3.1940
   3. log_pm2_5                       mean|SHAP| = 2.9571
   4. aqi_roll_mean_7                 mean|SHAP| = 2.7986
   5. month_cos                       mean|SHAP| = 2.0054
